1.46652,MOT_mc_bg_black_00,b80-45,,
83.05836,2,w2,,
83.05836,1,lp2,,
83.69162999999999,2,2-3,,f1
83.69162999999999,1,2-3,,b0
83.95827,2,lp3,,
83.95827,1,w3,,
85.05816,2,,r1,
85.89141,2,,r2,
86.89130999999999,2,3-1,,
86.89130999999999,1,3-1,,
87.15795,2,lp1,,
87.15795,1,w1,,
87.52458,2,,rb1,
88.35782999999999,2,,rb0,
88.82445,2,1-4,,b0
88.82445,1,1-2,,f1
89.09109,2,w4,,
89.09109,1,lp2,,
89.95767,1,2-4,,
90.22431,1,lp4,,
91.82414999999999,1,4-1,,
92.09079,1,lp1,,
93.52398,2,4-3,,f1
93.52398,1,1-3,,b0
93.79061999999999,2,lp3,,
93.79061999999999,1,w3,,
96.02373,2,3-2,,
96.19037999999999,1,3-2,,
96.45702,2,lp2,,
96.45702,1,w2,,
97.92354,1,2-1,,
97.92354,2,2-1,,
98.19018,2,lp1,,
98.19018,1,w1,,
98.9901,1,1-3,,
99.12342,2,1-3,,b0
99.39005999999999,MOT_control_all,zoom6,,
99.39005999999999,2,lp3,,
99.39005999999999,1,w3,,
101.72316,2,3-4,,
101.9898,2,w4,,
102.55641,1,3-4,,
102.82305,1,w4,,
104.02293,1,4-2,,
104.02293,2,4-2,,
104.28957,1,lp2,,
104.28957,2,lp2,,
107.92254,2,2-3,,
108.22251,1,2-1,,
108.52248,2,3-1,,
108.78912,1,w1,,
108.78912,2,w1,,
108.9891,1,,l1,
108.9891,2,,l1,
109.98899999999999,1,,l2,
109.98899999999999,2,,l2,
111.25554,1,1-3,lb1,
111.25554,2,1-3,lb1,
111.52217999999999,1,w3,,
111.52217999999999,2,w3,,
112.08878999999999,1,3-4,lb0,
112.08878999999999,2,3-4,lb0,
112.35543,1,w4,,
112.35543,2,w4,,
113.6553,1,,r1,
113.6553,2,,r1,
114.75519,1,,r2,
114.75519,2,,r2,
115.85508,1,4-1,rb1,
115.85508,2,4-1,rb1,
116.12172,1,w1,,
116.12172,2,w1,,
116.92164,1,,rb0,
116.92164,2,,rb0,
118.22151,2,1-2,,
118.35482999999999,1,1-2,,
118.62146999999999,1,w2,,
118.62146999999999,2,w2,,
120.52127999999999,1,2-4,,
120.65459999999999,2,2-4,,
120.92124,1,w4,,
120.92124,2,w4,,
