0.03333,MOT_all,cut1,,
73.89260999999999,MOT_mc_bg_black_00,b65-45,,
73.89260999999999,MOT_mc_stage_color_00,b-flash,,
73.89260999999999,MOT_mc_light_center_00,l3,,
73.89260999999999,MOT_mc_special_03,temp1,,
74.25923999999999,1,lp2,,
74.25923999999999,2,lp2,,
74.25923999999999,3,w2,,
74.25923999999999,4,w2,,
74.25923999999999,5,w2,,
74.69252999999999,1,,l1,
74.69252999999999,2,,l1,
74.69252999999999,3,,l1,
74.69252999999999,4,,l1,
74.69252999999999,5,,l1,
75.3258,1,,l2,
75.3258,2,,l2,
75.3258,3,,l2,
75.3258,4,,l2,
75.3258,5,,l2,
75.9924,1,,l3,
75.9924,2,,l3,
75.9924,3,,l3,
75.9924,4,,l3,
75.9924,5,,l3,
76.65899999999999,2,2-4,,
76.65899999999999,1,2-4,,
77.35893,1,sj4,,
77.35893,2,sj4,,
78.09219,1,lp4,,
78.09219,2,lp4,,
78.09219,3,w2,,
78.09219,4,w2,,
78.09219,5,w2,,
78.82545,1,4-2,,
78.82545,2,4-2,,
78.82545,3,2-2,,
78.82545,4,2-2,,
78.82545,5,2-2,,
79.22541,1,2-4,,
79.22541,2,2-4,,
79.22541,3,2-4,,
79.22541,4,2-4,,
79.22541,5,2-4,,
79.59204,1,4-3,,
79.59204,2,4-3,,
79.59204,3,4-3,,
79.59204,4,4-3,,
79.59204,5,4-3,,
79.92533999999999,1,lp3,,
79.92533999999999,2,lp3,,
79.92533999999999,3,w3,,
79.92533999999999,4,w3,,
79.92533999999999,5,w3,,
83.99159999999999,1,3-1,,b0
83.99159999999999,2,3-1,,
83.99159999999999,3,3-1,,
83.99159999999999,4,3-1,,
83.99159999999999,5,3-1,,
84.42488999999999,1,w1,,
84.42488999999999,2,sj1,,
84.42488999999999,3,w1,,
84.42488999999999,4,w1,,
84.42488999999999,5,w1,,
84.82485,2,lp1,,
84.82485,1,lp1,,
88.35782999999999,1,,lb2,
88.35782999999999,2,,lb2,
88.35782999999999,3,,lb2,
88.35782999999999,4,,lb2,
88.35782999999999,5,,lb2,
89.02443,1,,lb1,
89.02443,2,,lb1,
89.02443,3,,lb1,
89.02443,4,,lb1,
89.02443,5,,lb1,
89.65769999999999,1,1-2,lb0,
89.65769999999999,2,1-2,lb0,
89.65769999999999,3,1-2,lb0,
89.65769999999999,4,1-2,lb0,
89.65769999999999,5,1-2,lb0,
90.25764,1,,,f1
90.82424999999999,1,lp2,,
90.82424999999999,2,lp2,,
90.82424999999999,3,w2,,
90.82424999999999,4,w2,,
90.82424999999999,5,w2,,
91.19087999999999,1,,r1,
91.19087999999999,2,,r1,
91.19087999999999,3,,r1,
91.19087999999999,4,,r1,
91.19087999999999,5,,r1,
91.82414999999999,1,,r2,
91.82414999999999,2,,r2,
91.82414999999999,3,,r2,
91.82414999999999,4,,r2,
91.82414999999999,5,,r2,
92.49074999999999,2,,r3,
92.49074999999999,1,,r3,
92.49074999999999,3,,r3,
92.49074999999999,4,,r3,
92.49074999999999,5,,r3,
93.19068,1,2-4,,
93.19068,2,2-4,,
93.19068,3,2-4,,
93.19068,4,2-4,,
93.19068,5,2-4,,
93.92394,1,sj4,,
93.92394,2,sj4,,
93.92394,3,w4,,
93.92394,4,w4,,
93.92394,5,w4,,
94.62387,1,lp4,,
94.62387,2,lp4,,
95.32379999999999,1,4-2,,
95.32379999999999,2,4-2,,
95.32379999999999,3,4-2,,
95.32379999999999,4,4-2,,
95.32379999999999,5,4-2,,
96.02373,1,2-4,,
96.02373,2,2-4,,
96.02373,3,2-4,,
96.02373,4,2-4,,
96.02373,5,2-4,,
96.42369,1,4-3,,
96.42369,2,4-3,,
96.42369,3,4-3,,
96.42369,4,4-3,,
96.42369,5,4-3,,
96.79032,1,3-1,,
96.79032,2,3-1,,
96.79032,3,3-1,,
96.79032,4,3-1,,
96.79032,5,3-1,,
97.15695,1,lp1,,
97.15695,2,lp1,,
97.15695,3,w1,,
97.15695,4,w1,,
97.15695,5,w1,,
101.45652,5,1-3,,
101.45652,1,1-3,,
101.45652,2,1-3,,b0
101.45652,3,1-3,,
101.45652,4,1-3,,
101.88981,1,sj3,,
101.88981,2,w3,,
101.88981,3,w3,,
101.88981,4,w3,,
101.88981,5,w3,,
102.28976999999999,1,lp3,,
107.25594,1,3-4,,
107.25594,2,3-4,,f1
107.25594,3,3-4,,
107.25594,4,3-4,,
107.25594,5,3-4,,
107.72256,1,4-1,,
107.72256,2,4-1,,
107.72256,3,4-1,,
107.72256,4,4-1,,
107.72256,5,4-1,,
108.25583999999999,1,lp1,rb2,
108.25583999999999,2,lp1,rb2,
108.25583999999999,3,w1,rb2,
108.25583999999999,4,w1,rb2,
108.25583999999999,5,w1,rb2,
108.95577,1,,rb1,
108.95577,2,,rb1,
108.95577,3,,rb1,
108.95577,4,,rb1,
108.95577,5,,rb1,
109.72236,1,,rb0,
109.72236,2,,rb0,
109.72236,3,,rb0,
109.72236,4,,rb0,
109.72236,5,,rb0,
113.92193999999999,2,1-2,,b1
113.92193999999999,1,1-2,,
114.22191,3,1-2,,
114.55520999999999,4,1-2,,
114.55520999999999,5,1-2,,
115.08849,1,2-3,,
115.08849,2,2-3,,
115.08849,3,2-3,,
115.08849,4,2-3,,
115.08849,5,2-3,,
115.42179,2,,l1,
115.42179,1,,r1,
115.42179,4,,l1,
115.42179,5,,r1,
115.42179,3,sj3,,
115.58843999999999,1,lp3,,
115.58843999999999,2,lp3,,
115.58843999999999,3,lp3,,
115.58843999999999,4,lp3,,
115.58843999999999,5,lp3,,
116.12172,2,,l2,
116.12172,1,,r2,
116.12172,4,,l2,
116.12172,5,,r2,
116.75498999999999,2,,l3,
116.75498999999999,1,,r3,
116.75498999999999,4,,l3,
116.75498999999999,5,,r3,
117.32159999999999,1,3-4,,
117.32159999999999,2,3-4,,
117.32159999999999,3,3-4,,
117.32159999999999,4,3-4,,
117.32159999999999,5,3-4,,
117.78822,1,lp4,,
117.78822,2,lp4,,
117.78822,3,lp4,,
117.78822,4,lp4,,
117.78822,5,lp4,,
118.28817,2,,lb2,
118.28817,1,,rb2,
118.28817,4,,lb2,
118.28817,5,,rb2,
118.98809999999999,2,,lb1,
118.98809999999999,1,,rb1,
118.98809999999999,4,,lb1,
118.98809999999999,5,,rb1,
119.65469999999999,2,,lb0,
119.65469999999999,1,,rb0,
119.65469999999999,4,,lb0,
119.65469999999999,5,,rb0,
120.22130999999999,1,4-2,,
120.22130999999999,2,4-2,,
120.22130999999999,3,4-2,,
120.22130999999999,4,4-2,,
120.22130999999999,5,4-2,,
120.68793,1,lp2,,
120.68793,2,lp2,,
120.68793,3,lp2,,
120.68793,4,lp2,,
120.68793,5,lp2,,
121.08789,2,,l1,
121.08789,1,,r1,
121.08789,4,,l1,
121.08789,5,,r1,
121.82114999999999,2,,l2,
121.82114999999999,1,,r2,
121.82114999999999,4,,l2,
121.82114999999999,5,,r2,
122.62106999999999,2,,l3,
122.62106999999999,1,,r3,
122.62106999999999,4,,l3,
122.62106999999999,5,,r3,
123.12102,1,2-3,,
123.12102,2,2-3,,
123.12102,3,2-3,,
123.12102,4,2-3,,
123.12102,5,2-3,,
123.82095,1,lp3,,
123.82095,2,lp3,,
123.82095,3,lp3,,
123.82095,4,lp3,,
123.82095,5,lp3,,
123.95427,2,,lb2,
123.95427,1,,rb2,
123.95427,4,,lb2,
123.95427,5,,rb2,
124.68753,2,,lb1,
124.68753,1,,rb1,
124.68753,4,,lb1,
124.68753,5,,rb1,
124.68753,3,sj3,,
124.9875,3,3-1,,
124.9875,2,3-1,lb0,
124.9875,1,3-1,rb0,
124.9875,4,3-1,lb0,
124.9875,5,3-1,rb0,
125.08748999999999,MOT_mc_bg_black_00,b45-65,,
125.55411,MOT_mc_special_03,stay,,
125.55411,MOT_mc_light_center_00,l2,,
125.55411,1,w1,,
125.55411,2,w1,,
125.55411,3,w1,,
125.55411,4,w1,,
125.55411,5,w1,,
