0.03333,MOT_mc_stage_color_00,b,,
25.13082,5,w4,,
25.230809999999998,1,w4,,
25.697429999999997,4,4-1,l3,
25.697429999999997,5,4-1,r3,
25.73076,MOT_control_all,intro_02,,
25.96407,2,4-1,l3,
25.96407,3,4-1,r3,
26.297369999999997,2,w1,,
26.297369999999997,3,w1,,
26.297369999999997,4,w1,,
26.297369999999997,5,w1,,
26.53068,1,4-3,,
26.79732,1,w3,,
27.863879999999998,2,1-2,lb2,
27.863879999999998,3,1-2,rb2,
27.863879999999998,1,3-1,,
27.96387,MOT_mc_light_center_00,cut1,,
28.097189999999998,4,1-2,lb2,
28.097189999999998,5,1-2,rb2,
28.19718,1,w1,,
28.36383,2,w2,,
28.36383,3,w2,,
28.36383,4,w2,,
28.36383,5,w2,,
28.79712,2,2-4,lb1,
28.79712,3,2-4,rb1,
28.79712,1,1-4,,
29.03043,4,2-4,lb1,
29.03043,5,2-4,rb1,
29.19708,1,w4,,
29.330399999999997,2,w4,,
29.330399999999997,3,w4,,
29.330399999999997,4,w4,,
29.330399999999997,5,w4,,
30.363629999999997,2,j4-1,lb0,
30.363629999999997,3,j4-1,rb0,
30.69693,4,j4-1,lb0,
30.69693,5,j4-1,rb0,
30.69693,1,j4-1,,
30.79692,2,w1,,
30.79692,3,w1,,
31.09689,1,w1,,
31.09689,4,w1,,
31.09689,5,w1,,
33.29667,MOT_control_all,cut1,,
33.863279999999996,3,j1-2,,
33.92994,MOT_all,cut2,,
34.263239999999996,3,sj2,,
34.296569999999996,MOT_mc_light_up_00,chara_03,,
34.52988,3,2-4,,
34.52988,1,1-4,,
34.52988,2,1-4,,
34.52988,4,1-4,,
34.52988,5,1-4,,
34.86318,3,lp4,r1,
34.86318,1,w4,,
34.86318,2,w4,,
34.86318,4,w4,,
34.86318,5,w4,,
35.69643,3,4-1,r2,
35.9964,3,lp1,,
37.06296,3,1-3,,
37.3296,3,lp3,,
38.29617,3,3-2,rb1,
38.62947,3,lp2,,
39.06276,3,,rb0,
39.36273,3,2-4,,
39.6627,3,lp4,,
40.16265,1,1-2,,
40.16265,2,1-2,,
40.16265,4,1-2,,
40.16265,5,1-2,,
40.46262,1,lp2,,
40.46262,2,lp2,,
40.46262,4,lp2,,
40.46262,5,lp2,,
40.72926,1,2-4,,
40.72926,2,2-4,,
40.72926,4,2-4,,
40.72926,5,2-4,,
41.02923,1,w4,,
41.02923,2,w4,,
41.02923,4,w4,,
41.02923,5,w4,,
41.02923,3,4-2,l1,
41.36253,3,lp2,,
42.06246,3,2-1,lb0,
42.362429999999996,3,lp1,,
42.862379999999995,3,1-3,,
42.89571,MOT_all,cut3,,
42.9957,2,j4-2,,
43.02903,MOT_control_all,cut2,,
43.02903,MOT_mc_light_up_00,chara_02,,
43.229009999999995,3,w3,,
43.56231,2,sj2,,
43.89561,2,sj2,,
44.22891,2,lp2,,
44.22891,3,w3,,
44.72886,2,4-1,,
44.9955,2,lp1,,
45.228809999999996,2,1-4,l1,
45.49545,2,lp4,,
46.19538,2,4-1,,
46.462019999999995,2,1-3,,
46.76199,2,lp3,,
47.328599999999994,2,3-2,lb0,
47.661899999999996,2,lp2,,
48.3285,2,2-1,r1,
48.6618,2,sj1,,
48.96177,2,lp1,,
49.728359999999995,2,1-4,r2,
50.02833,2,lp4,,
50.82825,2,4-2,rb1,
51.19488,2,2-3,rb0,
51.52818,2,lp3,,
52.82805,MOT_control_all,cut3,,
52.82805,MOT_mc_light_up_00,chara_01,,
53.19468,MOT_all,cut4,,
53.19468,1,4-2,,f2
53.19468,2,w3,,
53.56131,1,lp2,,
54.49455,1,2-3,,
54.79452,1,3-1,l1,
55.12782,1,lp1,,
56.561009999999996,1,1-2,lb0,
56.92764,1,lp2,,
56.994299999999996,2,3-1,,
56.994299999999996,3,3-1,,
56.994299999999996,4,4-1,,
56.994299999999996,5,4-1,,
57.3276,2,lp1,,
57.3276,3,lp1,,
57.3276,4,lp1,,
57.3276,5,lp1,,
57.69423,1,2-1,,
57.860879999999995,2,1-3,,
57.860879999999995,3,1-3,,
57.860879999999995,4,1-3,,
57.860879999999995,5,1-3,,
58.09419,1,lp1,,
58.260839999999995,2,w3,,
58.260839999999995,3,w3,,
58.260839999999995,4,w3,,
58.260839999999995,5,w3,,
58.594139999999996,1,1-4,r1,
58.92744,1,lp4,,
59.96067,1,4-3,rb0,
60.42729,1,lp3,,
61.19388,MOT_control_all,cut4,,
61.19388,MOT_mc_light_up_00,chara_05,,
61.460519999999995,MOT_all,cut5,,
61.72716,5,3-4,,f2
61.72716,1,w3,,b1
62.12712,5,4-1,r1,
62.46042,5,lp1,,
62.660399999999996,5,1-2,,
63.027029999999996,5,lp2,,
63.69363,5,2-3,rb0,
63.72696,MOT_all,cut6,,
63.82695,MOT_control_all,cut5,,
64.09358999999999,5,lp3,,
64.29357,MOT_mc_light_up_00,chara_04,,
64.42689,5,w3,,
64.42689,4,3-2,,f2
64.79352,4,2-1,l1,
65.19348,4,lp1,,
65.92674,MOT_all,cut7,,
65.92674,4,1-3,lb0,
65.92674,2,,,f1
65.92674,3,,,f1
66.12671999999999,MOT_control_all,cut6,,
66.29337,4,lp3,,
66.36003,1,,,b0
66.39336,MOT_mc_light_up_00,chara_01,,
66.59334,4,w3,,
66.72666,1,j3-2,,
67.15995,1,sj2,,
67.52658,1,j2-1,,
68.05986,1,sj1,,
68.39316,1,lp1,,
68.49315,1,1-3,l1,
68.62647,MOT_mc_bg_black_00,b45-80-45,,
68.82645,1,lp3,,
69.72636,MOT_all,cut8,,
69.72636,1,3-2,lb0,
69.75968999999999,MOT_control_all,cut7,,
69.75968999999999,MOT_mc_light_up_00,kirakira,,
70.05966,1,lp2,,
70.45962,2,3-4,,
70.45962,3,3-4,,
70.75959,MOT_mc_light_center_00,watage_01,,
70.75959,MOT_mc_light_under_00,l2,,
70.79292,2,w4,,
70.79292,3,w4,,
71.15955,4,3-4,,
71.15955,5,3-4,,
71.49284999999999,4,lp4,,
71.49284999999999,5,lp4,,
71.79281999999999,1,j2-4,,
72.29276999999999,1,lp4,,
72.29276999999999,2,lp4,,
72.29276999999999,3,lp4,,
72.29276999999999,4,lp4,,
72.29276999999999,5,lp4,,
73.42599,1,j4-2,,
73.52597999999999,2,j4-2,,
73.52597999999999,3,j4-2,,
73.62597,4,j4-2,,
73.62597,5,j4-2,,
74.12592,1,lp2,,
74.12592,2,lp2,,
74.12592,3,lp2,,
74.12592,4,lp2,,
74.12592,5,lp2,,
75.52578,MOT_mc_special_01,main,,
75.72576,1,2-3,,
75.79241999999999,2,2-3,,
75.79241999999999,3,2-3,,
75.85907999999999,4,2-3,,
75.85907999999999,5,2-3,,
76.19238,1,j3-4,,
76.19238,2,j3-4,,
76.19238,3,j3-4,,
76.19238,4,j3-4,,
76.19238,5,j3-4,,
76.65899999999999,1,,r1,
76.65899999999999,2,,r1,
76.65899999999999,3,,r1,
76.65899999999999,4,,r1,
76.65899999999999,5,,r1,
77.22561,1,4-2,r2,
77.22561,2,4-2,r2,
77.22561,3,4-2,r2,
77.22561,4,4-2,r2,
77.22561,5,4-2,r2,
77.52557999999999,1,lp2,r3,
77.52557999999999,2,lp2,r3,
77.52557999999999,3,lp2,r3,
77.52557999999999,4,lp2,r3,
77.52557999999999,5,lp2,r3,
78.35883,1,j2-4,,
78.35883,2,j2-4,,
78.35883,3,j2-4,,
78.35883,4,j2-4,,
78.35883,5,j2-4,,
78.79212,1,lp4,rb2,
78.79212,2,lp4,rb2,
78.79212,3,lp4,rb2,
78.79212,4,lp4,rb2,
78.79212,5,lp4,rb2,
79.42539,1,4-3,rb1,
79.42539,2,4-3,rb1,
79.42539,3,4-3,rb1,
79.42539,4,4-3,rb1,
79.42539,5,4-3,rb1,
79.75869,1,3-1,rb0,
79.75869,2,3-1,rb0,
79.75869,3,3-1,rb0,
79.75869,4,3-1,rb0,
79.75869,5,3-1,rb0,
80.09199,1,lp1,,
80.09199,2,lp1,,
80.09199,3,lp1,,
80.09199,4,lp1,,
80.09199,5,lp1,,
81.12522,1,1-4,l1,
81.12522,2,1-4,l1,
81.12522,3,1-4,l1,
81.12522,4,1-4,l1,
81.12522,5,1-4,l1,
81.45852,1,4-2,l2,
81.45852,2,4-2,l2,
81.45852,3,4-2,l2,
81.45852,4,4-2,l2,
81.45852,5,4-2,l2,
81.82515,1,lp2,,
81.82515,2,lp2,,
81.82515,3,lp2,,
81.82515,4,lp2,,
81.82515,5,lp2,,
82.15845,1,2-1,,
82.15845,2,2-1,,
82.15845,3,2-1,,
82.15845,4,2-1,,
82.15845,5,2-1,,
82.49175,1,lp1,,
82.49175,2,lp1,,
82.49175,3,lp1,,
82.49175,4,lp1,,
82.49175,5,lp1,,
83.02503,1,1-4,lb1,
83.02503,2,1-4,lb1,
83.02503,3,1-4,lb1,
83.02503,4,1-4,lb1,
83.02503,5,1-4,lb1,
83.35833,1,lp4,,
83.35833,2,lp4,,
83.35833,3,lp4,,
83.35833,4,lp4,,
83.35833,5,lp4,,
83.95827,1,1-2,lb0,
83.95827,2,1-2,lb0,
83.95827,3,1-2,lb0,
83.95827,4,1-2,lb0,
83.95827,5,1-2,lb0,
84.29157,1,lp2,,
84.29157,2,lp2,,
84.29157,3,lp2,,
84.29157,4,lp2,,
84.29157,5,lp2,,
85.12482,MOT_control_all,cut8,,
85.49145,1,w2,,
85.49145,2,w2,,
85.49145,4,w2,,
85.49145,5,w2,,
85.49145,3,2-4,l1,
85.89141,3,j4-3,,
86.35803,3,lp3,l2,
86.72466,3,j3-1,,
87.12462,3,lp1,,
88.3245,3,1-4,lb1,
88.72446,3,lp4,,
88.9911,3,4-2,lb0,
89.15775,MOT_control_all,cut9,,
89.3244,3,lp2,,
90.05766,2,j2-3,,
90.05766,3,w2,,
90.6576,2,sp3-4,r1,
91.05756,2,,r2,
91.39085999999999,2,sj4,r3,
91.79082,2,lp4,,
92.19077999999999,2,4-1,rb2,
92.52408,2,lp1,,
92.82405,2,,rb1,
93.19068,2,1-3,rb0,
93.59064,2,lp3,,
94.89050999999999,MOT_control_all,cut10,,
94.89050999999999,1,j2-1,,
94.89050999999999,2,j3-1,,
94.89050999999999,3,j2-1,,
94.89050999999999,4,j2-1,,
94.89050999999999,5,j2-1,,
95.35713,1,lp1,,
95.35713,2,lp1,,
95.35713,3,lp1,,
95.35713,4,lp1,,
95.35713,5,lp1,,
95.75708999999999,1,j1-4,,
95.75708999999999,4,j1-4,,
95.75708999999999,5,j1-4,,
96.19037999999999,1,w4,,
96.19037999999999,4,w4,,
96.19037999999999,5,w4,,
96.55700999999999,2,j1-4,,
96.55700999999999,3,j1-4,,
96.99029999999999,1,lp4,,
96.99029999999999,2,lp4,,
96.99029999999999,3,lp4,,
96.99029999999999,4,lp4,,
96.99029999999999,5,lp4,,
97.82355,4,4-2,,
97.92354,2,4-2,,
98.02353,1,4-2,,
98.12352,3,4-2,,
98.22350999999999,5,4-2,,
98.22350999999999,4,w2,,
98.35683,1,lp2,,
98.35683,2,lp2,,
98.35683,3,lp2,,
98.35683,4,lp2,,
98.35683,5,lp2,,
99.29007,5,2-3,,
99.39005999999999,3,2-3,,
99.49005,1,2-3,,
99.59004,2,2-3,,
99.69003,4,2-3,,
99.69003,5,w3,,
99.82334999999999,3,w3,,
100.12331999999999,1,lp3,,
100.12331999999999,2,lp3,,
100.12331999999999,3,lp3,,
100.12331999999999,4,lp3,,
100.12331999999999,5,lp3,,
100.68992999999999,1,3-1,,
100.95657,2,3-1,,
100.95657,3,3-1,,
101.02323,1,w1,,
101.22321,4,3-1,,
101.22321,5,3-1,,
101.35652999999999,2,w1,,
101.35652999999999,3,w1,,
101.52318,1,lp1,,
101.52318,2,lp1,,
101.52318,3,lp1,,
101.52318,4,lp1,,
101.52318,5,lp1,,
101.72316,1,1-2,,
101.72316,2,1-2,,
101.72316,3,1-2,,
101.72316,4,1-2,,
101.72316,5,1-2,,
101.95647,1,j2-1,,
102.08979,2,j2-3,,
102.08979,3,j2-3,,
102.22310999999999,4,j2-1,,
102.22310999999999,5,j2-1,,
102.62307,1,lp1,,
102.62307,2,lp3,,
102.62307,3,lp3,,
102.62307,4,lp1,,
102.62307,5,lp1,,
103.22301,MOT_control_all,cut11,,
103.45631999999999,1,w1,,
103.45631999999999,2,w3,,
103.45631999999999,3,w3,,
103.45631999999999,4,w1,,
103.45631999999999,5,1-4,l1,
103.82294999999999,5,lp4,,
104.15625,5,4-3,l2,
104.48955,5,lp3,lb1,
105.28947,5,3-2,lb0,
105.38946,MOT_control_all,cut12,,
105.6561,4,1-3,r1,
105.6561,5,w2,,
105.98939999999999,4,lp3,r2,
106.38936,4,3-1,,
106.82265,4,lp1,rb1,
107.18928,MOT_control_all,cut13,,
107.25594,4,1-2,rb0,
107.62257,4,lp2,,
107.82254999999999,4,w2,,
107.82254999999999,1,1-3,,
108.18918,1,lp3,,
108.45581999999999,1,3-4,r1,
108.85578,1,lp4,,
109.68902999999999,1,4-3,,
110.05565999999999,1,lp3,,
110.62227,1,3-2,rb0,
110.9889,MOT_control_all,cut14,,
111.05556,1,2-4,l1,
111.48885,1,lp4,,
112.28877,1,4-1,lb0,
112.28877,2,3-1,,
112.28877,3,3-1,,
112.28877,4,2-1,,
112.28877,5,2-1,,
112.62207,1,lp1,,
112.62207,2,lp1,,
112.62207,3,lp1,,
112.62207,4,lp1,,
112.62207,5,lp1,,
113.18867999999999,2,1-3,r1,
113.18867999999999,3,1-3,l1,
113.38866,4,1-3,r2,
113.38866,5,1-3,l2,
113.48864999999999,2,lp3,,
113.48864999999999,3,lp3,,
113.68862999999999,4,lp3,,
113.68862999999999,5,lp3,,
113.88861,2,3-2,,
113.88861,3,3-2,,
114.08859,4,3-2,r2,
114.08859,5,3-2,l2,
114.18858,2,lp2,,
114.18858,3,lp2,,
114.42188999999999,4,lp2,,
114.42188999999999,5,lp2,,
114.75519,1,j3-4,,
114.75519,2,3-4,r2,
114.75519,3,3-4,l2,
114.75519,4,2-4,r3,
114.75519,5,2-4,l3,
115.15514999999999,1,lp4,,
115.15514999999999,2,lp4,,
115.15514999999999,3,lp4,,
115.15514999999999,4,lp4,,
115.15514999999999,5,lp4,,
116.35503,1,4-2,r1,
116.35503,2,4-2,r3,
116.35503,3,4-2,lb1,
116.35503,4,4-2,r4,
116.35503,5,4-2,lb2,
116.72166,1,lp2,,
116.72166,2,lp2,,
116.72166,3,lp2,,
116.72166,4,lp2,,
116.72166,5,lp2,,
117.48825,4,1-3,rb3,
117.48825,5,1-3,l3,
117.6549,2,1-3,rb2,
117.6549,3,1-3,l2,
117.78822,1,1-3,rb0,
118.05485999999999,1,lp3,,
118.05485999999999,2,lp3,,
118.05485999999999,3,lp3,,
118.05485999999999,4,lp3,,
118.05485999999999,5,lp3,,
119.45472,1,3-1,l1,
119.45472,2,3-1,rb1,
119.45472,3,3-1,l3,
119.45472,4,3-1,rb2,
119.45472,5,3-1,l4,
119.88801,1,lp1,,
119.88801,2,lp1,,
119.88801,3,lp1,,
119.88801,4,lp1,,
119.88801,5,lp1,,
120.9879,4,1-3,r3,
120.9879,5,1-3,lb3,
121.12122,2,1-3,r2,
121.12122,3,1-3,lb2,
121.28787,1,1-3,lb0,
121.72116,1,lp3,,
121.72116,2,lp3,,
121.72116,3,lp3,,
121.72116,4,lp3,,
121.72116,5,lp3,,
122.18777999999999,1,3-4,,
122.18777999999999,2,3-4,,
122.18777999999999,3,3-4,,
122.18777999999999,4,3-4,,
122.18777999999999,5,3-4,,
122.52108,1,lp4,,
122.52108,2,lp4,,
122.52108,3,lp4,,
122.52108,4,lp4,,
122.52108,5,lp4,,
122.78772,MOT_mc_light_up_00,kirakira-out,,
123.22100999999999,MOT_mc_light_center_00,last,,
123.95427,MOT_mc_special_01,main_out,,
124.78752,MOT_mc_light_under_00,l3,,
127.28726999999999,MOT_all,cut9,,
127.68723,1,4-2,,
127.68723,2,4-2,,
127.68723,3,4-2,,
127.68723,4,4-2,,
127.68723,5,4-2,,
128.02053,1,w2,,
128.02053,2,w2,,
128.02053,3,w2,,
128.02053,4,w2,,
128.02053,5,w2,,
