0.06666,MOT_mc_stage_color_00,open,,
54.26124,2,3-1,,
54.26124,4,3-1,,
54.69453,2,lp1,,
54.69453,4,lp1,,
56.39436,1,1-2,,f1
56.39436,5,1-2,,f1
56.39436,3,4-2,,f1
56.39436,2,1-2,,
56.39436,4,1-2,,
56.82765,1,w2,,
56.82765,2,w2,,
56.82765,3,w2,,
56.82765,4,w2,,
56.82765,5,w2,,
57.09429,1,2-4,,
57.49425,2,2-4,,
57.49425,3,2-4,,
57.92754,4,2-4,,
57.92754,5,2-4,,
58.294169999999994,1,4-1,,
58.294169999999994,2,lp4,,
58.294169999999994,3,lp4,,
58.294169999999994,4,lp4,,
58.294169999999994,5,lp4,,
58.46082,2,4-1,,
58.627469999999995,3,4-1,,
58.79412,4,4-1,,
58.96077,5,4-1,,
59.26074,1,1-2,,
59.52738,2,1-2,,
59.794019999999996,3,1-2,,
60.06066,4,1-2,,
60.327299999999994,5,1-2,,
60.627269999999996,1,2-3,,
60.627269999999996,2,2-3,,
60.627269999999996,3,2-3,,
60.627269999999996,4,2-3,,
60.627269999999996,5,2-3,,
61.26054,1,3-1,,b0
61.26054,2,3-1,,b0
61.26054,3,3-4,,
61.26054,4,3-1,,b0
61.26054,5,3-1,,b0
61.927139999999994,3,4-2,,
61.927139999999994,2,w1,,
61.927139999999994,1,w1,,
61.927139999999994,4,w1,,
61.927139999999994,5,w1,,
61.927139999999994,MOT_mc_stage_color_00,l2,,
61.927139999999994,MOT_mc_light_center_00,l2,,
61.927139999999994,MOT_mc_light_up_00,l4,,
62.327099999999994,3,lp2,,
62.56041,3,,l1,
63.460319999999996,3,,lb0,
65.32679999999999,3,2-4,,
65.76008999999999,3,lp4,,
66.85998,3,,r1,
67.89321,3,,rb0,
68.62647,1,1-2,,
68.62647,2,1-2,,
68.62647,4,1-2,,
68.62647,5,1-2,,
69.09309,1,w2,l1,
69.09309,2,w2,l1,
69.09309,4,w2,l1,
69.09309,5,w2,l1,
70.05966,1,,lb0,
70.05966,2,,lb0,
70.05966,4,,lb0,
70.05966,5,,lb0,
70.05966,3,4-2,,b0
70.45962,1,2-3,,f1
70.45962,5,2-3,,f1
70.45962,2,w2,,
70.45962,4,w2,,
70.45962,3,w2,,
70.92623999999999,1,lp3,,
70.92623999999999,5,lp3,,
71.95947,5,3-4,,
72.15944999999999,1,3-4,,
72.52608,1,lp4,,
72.52608,5,lp4,,
73.95927,1,4-1,,
74.25923999999999,5,4-1,,
74.55921,1,1-2,,
74.82585,5,1-2,,
75.09249,1,2-4,,
75.35913,5,2-4,,
75.69243,1,4-2,,
75.69243,5,4-2,,
76.12572,2,2-1,,f1
76.12572,4,2-1,,f1
76.12572,3,2-1,,f1
76.12572,1,w2,,
76.12572,5,w2,,
76.75899,2,1-1,,
76.75899,4,1-1,,
76.75899,3,1-1,,
77.22561,2,1-3,,
77.22561,4,1-3,,
77.22561,3,1-3,,
77.85888,2,3-3,,
77.85888,4,3-3,,
77.85888,3,3-3,,
78.29217,2,3-4,,
78.29217,4,3-4,,
78.29217,3,3-4,,
78.29217,1,2-4,,
78.29217,5,2-4,,
78.75878999999999,1,w4,,
78.75878999999999,2,w4,,
78.75878999999999,3,w4,,
78.75878999999999,4,w4,,
78.75878999999999,5,w4,,
78.89211,1,4-1,,
79.25874,2,4-1,,
79.59204,3,4-1,,
79.92533999999999,4,4-1,,
80.25864,5,4-1,,
80.65859999999999,1,1-2,,
80.65859999999999,2,1-2,,
80.65859999999999,3,1-2,,
80.65859999999999,4,1-2,,
80.65859999999999,5,1-2,,
81.09188999999999,1,lp2,,
81.09188999999999,2,lp2,,
81.09188999999999,3,lp2,,
81.09188999999999,4,lp2,,
81.09188999999999,5,lp2,,
82.6584,1,2-3,,f2
82.6584,2,2-3,,
82.6584,3,2-3,,
82.6584,4,2-3,,b0
82.6584,5,2-3,,b0
82.92504,MOT_mc_light_up_00,l3,,
82.92504,MOT_mc_bg_black_00,b65-45,,
82.92504,MOT_mc_stage_color_00,l3,,
82.92504,MOT_mc_light_center_00,l1,,
83.09169,1,lp3,,
83.09169,2,lp3,,
83.09169,3,lp3,,
83.09169,4,lp3,,
83.09169,5,lp3,,
84.92484,1,3-1,,
84.92484,2,3-1,,
84.92484,3,3-1,,
84.92484,4,3-1,,
84.92484,5,3-1,,
85.35813,1,lp1,,
85.35813,2,lp1,,
85.35813,3,lp1,,
85.35813,4,lp1,,
85.35813,5,lp1,,
87.32459999999999,1,1-2,,
87.32459999999999,2,w1,,
87.32459999999999,3,w1,,
87.32459999999999,4,w1,,
87.32459999999999,5,w1,,
88.19118,1,2-3,,
88.6578,1,lp3,,
89.3244,1,,r1,
90.39095999999999,1,,rb0,
91.32419999999999,1,3-2,,
91.45752,2,1-2,,
91.45752,3,1-2,,
91.59084,4,1-2,,
91.59084,5,1-2,,
91.9908,1,lp2,l1,
91.9908,2,lp2,l1,
91.9908,3,lp2,l1,
91.9908,4,lp2,l1,
91.9908,5,lp2,l1,
92.89071,1,,lb0,
92.89071,2,,lb0,
92.89071,3,,lb0,
92.89071,4,,lb0,
92.89071,5,,lb0,
93.22400999999999,1,2-4,,
93.22400999999999,2,2-4,,
93.22400999999999,3,2-4,,
93.22400999999999,4,2-4,,
93.22400999999999,5,2-4,,
93.59064,1,lp4,r1,
93.59064,2,lp4,r1,
93.59064,3,lp4,r1,
93.59064,4,lp4,r1,
93.59064,5,lp4,r1,
94.69053,1,,rb0,
94.69053,2,,rb0,
94.69053,3,,rb0,
94.69053,4,,rb0,
94.69053,5,,rb0,
96.19037999999999,1,4-1,,
96.657,2,4-1,,f2
96.657,3,4-1,,f2
97.12362,4,4-1,,f2
97.12362,5,4-1,,f2
97.49024999999999,1,w1,,
97.49024999999999,2,w1,,
97.49024999999999,3,w1,,
97.49024999999999,4,w1,,
97.49024999999999,5,w1,,
97.72355999999999,1,1-2,,
97.72355999999999,2,1-2,,
97.72355999999999,3,1-2,,
97.72355999999999,4,1-2,,
97.72355999999999,5,1-2,,
98.12352,1,lp2,,
98.12352,2,lp2,,
98.12352,3,lp2,,
98.12352,4,lp2,,
98.12352,5,lp2,,
98.85678,1,2-3,,
98.85678,2,2-3,,
98.85678,3,2-3,,
98.85678,4,2-3,,
98.85678,5,2-3,,
99.32339999999999,1,lp3,,
99.32339999999999,2,lp3,,
99.32339999999999,3,lp3,,
99.32339999999999,4,lp3,,
99.32339999999999,5,lp3,,
99.42339,2,,l1,
99.42339,3,,r1,
99.42339,4,,l1,
99.42339,5,,r1,
99.75668999999999,2,,l2,
99.75668999999999,3,,r2,
99.75668999999999,4,,l2,
99.75668999999999,5,,r2,
100.25663999999999,1,3-4,,
100.25663999999999,2,3-4,,
100.25663999999999,3,3-4,,
100.25663999999999,4,3-4,,
100.25663999999999,5,3-4,,
100.68992999999999,1,lp4,,
100.68992999999999,2,lp4,,
100.68992999999999,3,lp4,,
100.68992999999999,4,lp4,,
100.68992999999999,5,lp4,,
102.42309,1,4-1,,
102.62307,2,4-1,,b1
102.62307,3,4-1,,b1
102.82305,4,4-1,,b1
102.82305,5,4-1,,b1
103.15634999999999,1,1-2,,
103.15634999999999,2,1-2,,
103.15634999999999,3,1-2,,
103.15634999999999,4,1-2,,
103.15634999999999,5,1-2,,
103.52297999999999,1,lp2,,
103.52297999999999,2,lp2,,
103.52297999999999,3,lp2,,
103.52297999999999,4,lp2,,
103.52297999999999,5,lp2,,
103.75628999999999,1,2-3,,
103.9896,2,2-3,,
104.18957999999999,3,2-3,,
104.35623,4,2-3,,
104.52288,5,2-3,,
105.08949,2,,lb1,
105.08949,3,,rb1,
105.08949,4,,lb1,
105.08949,5,,rb1,
105.38946,1,3-4,,
105.38946,2,3-4,,
105.38946,3,3-4,,
105.38946,4,3-4,,
105.38946,5,3-4,,
105.88941,1,4-1,,
106.12272,2,4-1,,
106.35602999999999,3,4-1,,
106.55601,4,4-1,,
106.72265999999999,5,4-1,,
107.15594999999999,1,1-2,,
107.15594999999999,2,1-2,,
107.15594999999999,3,1-2,,
107.15594999999999,4,1-2,,
107.15594999999999,5,1-2,,
107.48925,2,,lb0,
107.48925,3,,rb0,
107.48925,4,,lb0,
107.48925,5,,rb0,
108.05586,1,2-3,,
108.32249999999999,2,2-3,,
108.55581,3,2-3,,
108.68912999999999,4,2-3,,
108.82244999999999,5,2-3,,
109.18907999999999,1,3-4,,
109.18907999999999,2,3-4,,
109.18907999999999,3,3-4,,
109.18907999999999,4,3-4,,
109.18907999999999,5,3-4,,
109.58904,1,j4-1,,
109.92233999999999,2,j4-1,,
109.92233999999999,3,j4-1,,
109.92233999999999,1,w1,,
110.18898,4,j4-1,,
110.18898,5,j4-1,,
110.55561,2,w1,,
110.55561,3,w1,,
110.78891999999999,1,1-2,,
110.78891999999999,2,1-2,,
110.78891999999999,3,1-2,,
110.78891999999999,4,1-2,,
110.78891999999999,5,1-2,,
111.25554,1,w2,,
111.25554,2,w2,,
111.25554,3,w2,,
111.25554,4,w2,,
111.25554,5,w2,,
111.75549,1,2-3,,
112.15545,2,2-3,,
112.15545,3,2-3,,
112.52207999999999,4,2-3,,
112.52207999999999,5,2-3,,
112.9887,1,3-1,,
112.9887,2,3-1,,
112.9887,3,3-1,,
112.9887,4,3-1,,
112.9887,5,3-1,,
113.38866,1,w1,,
113.38866,2,w1,,
113.38866,3,w1,,
113.38866,4,w1,,
113.38866,5,w1,,
114.28856999999999,1,1-2,,
115.88841,1,2-4,,
116.08838999999999,2,1-4,,
116.08838999999999,3,1-4,,
116.28837,4,1-4,,
116.28837,5,1-4,,
116.58833999999999,1,lp4,,
116.58833999999999,2,lp4,,
116.58833999999999,3,lp4,,
116.58833999999999,4,lp4,,
116.58833999999999,5,lp4,,
118.85477999999999,MOT_mc_light_up_00,l2,,
118.85477999999999,MOT_mc_bg_black_00,b45-80,,
118.85477999999999,MOT_mc_light_under_00,l2,,
118.85477999999999,MOT_mc_stage_color_00,close,,
119.65469999999999,4,4-1,,
119.65469999999999,5,4-1,,
120.12132,2,4-1,,
120.12132,3,4-1,,
120.72126,1,4-1,,
121.28787,1,w1,,
121.28787,2,w1,,
121.28787,3,w1,,
121.28787,4,w1,,
121.28787,5,w1,,
