0.03333,MOT_mc_bg_black_00,stay,,
18.23151,4,w1,,
18.23151,5,w1,,
18.764789999999998,1,,lb2,
18.764789999999998,2,,r1,
18.764789999999998,4,,r1,
18.764789999999998,3,,l1,
18.764789999999998,5,,l1,
19.13142,1,,lb1,
19.13142,2,,r2,
19.13142,4,,r2,
19.13142,3,,l2,
19.13142,5,,l2,
19.43139,1,2-4,lb0,
19.764689999999998,1,4-2,,
19.764689999999998,2,,r3,
19.764689999999998,4,,r3,
19.764689999999998,3,,l3,
19.764689999999998,5,,l3,
20.09799,1,lp2,,
21.631169999999997,1,sp2-3,,
21.631169999999997,2,sp2-3,,
21.631169999999997,3,sp2-3,,
21.631169999999997,4,sp2-3,,
21.631169999999997,5,sp2-3,,
23.29767,1,hj3,,
23.29767,2,hj3,,
23.29767,3,hj3,,
23.29767,4,hj3,,
23.29767,5,hj3,,
23.96427,1,lp3,,
23.96427,2,w3,,
23.96427,3,w3,,
23.96427,4,w3,,
23.96427,5,w3,,
24.73086,1,3-4,,f2
24.73086,2,,rb2,
24.73086,4,,,
24.73086,3,,lb2,
24.73086,5,,,
25.064159999999998,1,lp4,,
25.064159999999998,2,w3,,
25.064159999999998,4,w3,,
25.064159999999998,3,w3,,
25.064159999999998,5,w3,,
25.93074,2,,rb1,
25.93074,4,,rb2,
25.93074,3,,lb1,
25.93074,5,,lb2,
26.63067,1,,r1,
27.36393,1,4-3,r2,
27.36393,2,,rb0,
27.36393,4,,rb1,
27.36393,3,,lb0,
27.36393,5,,lb1,
27.663899999999998,1,lp3,,
29.730359999999997,1,3-1,rb1,
29.730359999999997,2,3-2,,
29.730359999999997,4,3-2,rb0,
29.730359999999997,3,3-2,,
29.730359999999997,5,3-2,lb0,
30.06366,1,lp1,,
30.06366,2,w2,,
30.06366,3,w2,,
30.06366,4,w2,,
30.06366,5,w2,,
30.330299999999998,1,1-2,,
30.6636,1,lp2,,
32.663399999999996,1,2-4,rb0,
32.9967,1,lp4,,
33.96327,1,4-3,,
33.96327,2,2-4,,
33.96327,3,2-4,,
33.96327,4,2-4,,
33.96327,5,2-4,,
34.263239999999996,1,lp3,,
34.263239999999996,2,lp4,,
34.263239999999996,3,lp4,,
34.263239999999996,4,lp4,,
34.263239999999996,5,lp4,,
35.62977,MOT_mc_bg_black_00,b45-65,,
35.62977,MOT_mc_light_center_00,l2,,
35.62977,MOT_mc_light_under_00,l2,,
35.69643,MOT_mc_light_up_00,l3,,
35.96307,1,3-2,,
35.96307,2,4-1,lw2,f1
35.96307,4,4-1,lw2,
35.96307,3,4-2,rw2,f1
35.96307,5,4-2,rw2,
36.296369999999996,1,lp2,,
36.296369999999996,2,w1,,
36.296369999999996,4,w1,,
36.296369999999996,3,w2,,
36.296369999999996,5,w2,,
37.22961,1,,l1,
38.49615,1,,l2,
38.49615,2,,lw4,
38.49615,4,,lw4,
38.49615,3,,rw4,
38.49615,5,,rw4,
39.995999999999995,1,,l3,
41.42919,1,2-3,,
41.42919,2,1-4,lwb2,
41.42919,4,1-4,lwb2,
41.42919,3,2-4,rwb2,
41.42919,5,2-4,rwb2,
41.76249,1,lp3,,
41.76249,2,w4,,
41.76249,4,w4,,
41.76249,3,w4,,
41.76249,5,w4,,
42.795719999999996,1,,lb2,
44.19558,1,,lb1,
44.19558,2,,lwb0,
44.19558,4,,lwb0,
44.19558,3,,rwb0,
44.19558,5,,rwb0,
45.49545,1,,lb0,
45.79542,1,lp3,,
46.29537,MOT_mc_bg_black_00,b65-45,,
46.29537,MOT_mc_light_up_00,l2,,
46.29537,MOT_mc_light_center_00,l1,,
46.29537,MOT_mc_light_under_00,l1,,
46.29537,MOT_speaker_00,temp4,,
46.39536,1,3-1,,
46.39536,2,4-3,,
46.39536,4,4-3,,
46.39536,3,4-3,,
46.39536,5,4-3,,
46.72866,1,1-2,,
46.72866,2,w3,,
46.72866,4,w3,,
46.72866,3,w3,,
46.72866,5,w3,,
47.06196,1,lp2,,
47.39526,1,j2-3,r1,
47.89521,1,3-4,,
48.22851,1,lp4,,
49.361729999999994,1,4-2,,
49.361729999999994,2,3-4,,
49.361729999999994,4,3-4,,
49.361729999999994,3,3-4,,
49.361729999999994,5,3-4,,
49.695029999999996,1,sj2,,
49.695029999999996,2,lp4,,
49.695029999999996,4,lp4,,
49.695029999999996,3,lp4,,
49.695029999999996,5,lp4,,
50.19498,1,2-1,,
50.528279999999995,1,w1,,
50.79492,1,1-3,rb0,
51.12822,1,w3,,
52.128119999999996,MOT_mc_bg_black_00,b45-65,,
52.26144,1,3-1,,
52.26144,2,4-3,,
52.26144,4,4-2,,
52.26144,3,4-3,,
52.26144,5,4-2,,
52.594739999999994,1,lp1,,
52.594739999999994,2,w3,,
52.594739999999994,4,w2,,
52.594739999999994,3,w3,,
52.594739999999994,5,w2,,
52.961369999999995,1,j1-2,,
53.46132,1,2-3,,
53.794619999999995,1,lp3,,
54.82785,1,j3-4,,
55.327799999999996,1,lp4,,
56.161049999999996,1,4-3,,
56.49435,1,lp3,,
57.72756,1,3-1,,
57.72756,2,4-1,,
57.72756,4,4-1,,
57.72756,3,4-1,,
57.72756,5,4-1,,
58.06086,1,w1,,
58.06086,2,w1,,
58.06086,3,w1,,
58.06086,4,w1,,
58.06086,5,w1,,
58.3275,4,hj1,,
58.594139999999996,2,hj1,,
58.89411,3,hj1,,
59.16075,5,hj1,,
59.36073,MOT_mc_bg_black_00,b65-20,,
59.36073,MOT_mc_light_up_00,l2,,
59.36073,MOT_mc_light_center_00,l3,,
59.36073,MOT_mc_light_under_00,l2,,
59.36073,MOT_speaker_00,temp3,,
59.36073,MOT_mc_stage_color_00,r-flash,,
59.460719999999995,2,w1,,
59.460719999999995,4,w1,,
59.460719999999995,3,w1,,
59.69403,1,1-3,,
59.69403,2,1-3,,
59.69403,3,1-3,,
59.69403,4,1-3,,
59.69403,5,1-3,,
60.02733,1,lp3,,
60.02733,2,lp3,,
60.02733,3,lp3,,
60.02733,4,lp3,,
60.02733,5,lp3,,
60.327299999999994,1,,r1,
60.327299999999994,2,,r1,
60.327299999999994,4,,r1,
60.327299999999994,3,,r1,
60.327299999999994,5,,r1,
60.627269999999996,1,,r2,
60.627269999999996,2,,r2,
60.627269999999996,3,,r2,
60.627269999999996,4,,r2,
60.627269999999996,5,,r2,
60.96057,1,,r3,
60.96057,2,,r3,
60.96057,3,,r3,
60.96057,4,,r3,
60.96057,5,,r3,
61.3272,1,,r4,
61.3272,2,,r4,
61.3272,3,,r4,
61.3272,4,,r4,
61.3272,5,,r4,
62.293769999999995,1,3-4,,
62.293769999999995,2,3-2,,
62.293769999999995,4,3-2,,
62.293769999999995,3,3-2,,
62.293769999999995,5,3-2,,
62.627069999999996,1,lp4,,
62.627069999999996,2,lp2,,
62.627069999999996,4,lp2,,
62.627069999999996,3,lp2,,
62.627069999999996,5,lp2,,
63.19368,1,,rb3,
63.19368,2,,rb3,
63.19368,3,,rb3,
63.19368,4,,rb3,
63.19368,5,,rb3,
63.62697,1,,rb2,
63.62697,2,,rb2,
63.62697,3,,rb2,
63.62697,4,,rb2,
63.62697,5,,rb2,
64.06026,1,,rb1,
64.06026,2,,rb1,
64.06026,3,,rb1,
64.06026,4,,rb1,
64.06026,5,,rb1,
64.49355,1,,rb0,
64.49355,2,,rb0,
64.49355,3,,rb0,
64.49355,4,,rb0,
64.49355,5,,rb0,
65.69342999999999,1,,l1,
65.69342999999999,2,,l1,
65.69342999999999,3,,l1,
65.69342999999999,4,,l1,
65.69342999999999,5,,l1,
66.02673,1,,l2,
66.02673,2,,l2,
66.02673,3,,l2,
66.02673,4,,l2,
66.02673,5,,l2,
66.39336,1,,l3,
66.39336,2,,l3,
66.39336,3,,l3,
66.39336,4,,l3,
66.39336,5,,l3,
66.79332,1,,l4,
66.79332,2,,l4,
66.79332,3,,l4,
66.79332,4,,l4,
66.79332,5,,l4,
67.89321,1,4-3,,
67.89321,2,2-3,,
67.89321,4,2-3,,
67.89321,3,2-3,,
67.89321,5,2-3,,
68.22650999999999,1,lp3,,
68.22650999999999,2,lp3,,
68.22650999999999,4,lp3,,
68.22650999999999,3,lp3,,
68.22650999999999,5,lp3,,
68.69313,1,,lb3,
68.69313,2,,lb3,
68.69313,3,,lb3,
68.69313,4,,lb3,
68.69313,5,,lb3,
69.12642,1,,lb2,
69.12642,2,,lb2,
69.12642,3,,lb2,
69.12642,4,,lb2,
69.12642,5,,lb2,
69.55971,1,,lb1,
69.55971,2,,lb1,
69.55971,3,,lb1,
69.55971,4,,lb1,
69.55971,5,,lb1,
69.993,1,,lb0,
69.993,2,,lb0,
69.993,3,,lb0,
69.993,4,,lb0,
69.993,5,,lb0,
70.95957,1,3-2,,
70.95957,2,3-4,,
70.95957,4,3-4,,
70.95957,3,3-1,,
70.95957,5,3-1,,
71.29287,1,w2,,
71.29287,2,lp4,,
71.29287,4,lp4,,
71.29287,3,lp1,,
71.29287,5,lp1,,
72.22610999999999,1,2-4,r1,
72.55941,1,w4,,
73.22601,1,4-2,r2,
73.55931,1,w2,,
74.42589,1,2-1,rb1,
74.75918999999999,1,w1,,
76.42569,1,1-4,,
76.42569,2,4-2,,
76.42569,4,4-2,,
76.42569,3,1-3,,
76.42569,5,1-3,,
76.75899,1,lp4,,
76.75899,2,w2,,
76.75899,4,w2,,
76.75899,3,w3,,
76.75899,5,w3,,
77.42559,1,4-3,,
77.75889,1,lp3,,
81.82515,1,3-1,,
82.15845,1,lp1,,
82.45841999999999,1,1-2,rb0,
82.45841999999999,2,2-3,,
82.45841999999999,4,2-3,,
82.45841999999999,3,3-2,,
82.45841999999999,5,3-2,,
82.79172,1,lp2,,
82.79172,2,w3,,
82.79172,4,w3,,
82.79172,3,w2,,
82.79172,5,w2,,
83.6583,1,sp2-3,,
83.6583,2,sp3-4,,
83.6583,4,sp3-4,,
83.6583,3,sp2-3,,
83.6583,5,sp2-3,,
85.89141,1,j3-1,,
85.89141,2,3-4,,
85.89141,4,3-4,,
85.89141,3,3-1,,
85.89141,5,3-1,,
86.69133,1,1-2,,
86.69133,2,w4,,
86.69133,4,w4,,
86.69133,3,w1,,
86.69133,5,w1,,
87.02463,1,w2,,
87.25793999999999,MOT_mc_bg_black_00,b20-65,,
87.25793999999999,MOT_mc_light_up_00,l1,,
87.25793999999999,MOT_mc_light_center_00,l1,,
87.25793999999999,MOT_mc_light_under_00,l3,,
87.25793999999999,MOT_speaker_00,temp4,,
87.25793999999999,MOT_mc_stage_color_00,r-flash,,
88.45782,2,j4-2,,
88.45782,3,j1-3,,
88.49114999999999,MOT_mc_bg_black_00,b65-45,,
88.95777,2,w2,,
88.95777,3,w3,,
89.75769,MOT_mc_bg_black_00,b45-65,,
89.75769,MOT_mc_light_center_00,l2,,
89.75769,MOT_mc_stage_color_00,b-flash,,
89.75769,4,j4-2,,
89.75769,5,j1-3,,
90.25764,4,w2,,
90.25764,5,w3,,
91.12422,1,2-3,,
91.45752,1,w3,,
91.45752,2,2-4,,
91.45752,3,3-1,,
91.79082,2,w4,,
91.79082,3,w1,,
91.79082,4,2-4,,
91.79082,5,3-1,,
92.12411999999999,4,w4,,
92.12411999999999,5,w1,,
92.62406999999999,MOT_mc_bg_black_00,b65-20,,
92.62406999999999,MOT_mc_light_up_00,l4,,
92.62406999999999,MOT_mc_light_center_00,l3,,
92.62406999999999,MOT_mc_light_under_00,l2,,
92.62406999999999,MOT_speaker_00,temp3,,
92.62406999999999,MOT_mc_stage_color_00,r-flash,,
92.62406999999999,1,j2-1,,
92.62406999999999,2,4-2,l1,
92.62406999999999,4,4-2,lw2,
92.62406999999999,3,1-3,r1,
92.62406999999999,5,1-3,rw2,
93.12402,1,lp1,,
93.12402,2,w2,,
93.12402,4,w2,,
93.12402,3,w3,,
93.12402,5,w3,,
93.324,1,1-4,,
93.65729999999999,1,w4,,
93.85728,1,4-2,,
93.85728,2,,l2,
93.85728,4,,lw4,
93.85728,3,,r2,
93.85728,5,,rw4,
94.19058,1,lp2,,
95.29047,1,2-3,,
95.29047,2,,,b0
95.29047,4,,,f1
95.29047,3,,,b0
95.29047,5,,,f1
95.62377,1,lp3,,
95.95707,2,2-1,l3,
95.95707,4,2-1,,
95.95707,3,3-4,r3,
95.95707,5,3-4,,
96.29037,2,w1,,
96.29037,4,w1,,
96.29037,3,w4,,
96.29037,5,w4,,
97.25694,1,3-2,,
97.25694,2,1-3,,
97.25694,4,1-3,,
97.25694,3,4-1,,
97.25694,5,4-1,,
97.59024,1,lp2,,
97.59024,2,w3,,
97.59024,4,w3,,
97.59024,3,w1,,
97.59024,5,w1,,
98.49015,1,j2-1,,
98.49015,2,3-2,lb2,
98.49015,4,3-2,lwb2,
98.49015,3,1-4,rb2,
98.49015,5,1-4,rwb2,
98.82345,1,w1,,
98.82345,2,w2,,
98.82345,4,w2,,
98.82345,3,w4,,
98.82345,5,w4,,
99.15675,1,1-3,,
99.49005,1,w3,,
99.69003,1,3-2,,
99.69003,2,,lb1,
99.69003,4,,lwb0,
99.69003,3,,rb1,
99.69003,5,,rwb0,
100.02333,1,lp2,,
100.95657,1,2-3,,
100.95657,2,,,f1
100.95657,4,,,b0
100.95657,3,,,f1
100.95657,5,,,b0
101.28987,1,lp3,,
101.6565,1,3-2,,
101.6565,2,2-1,lb0,
101.6565,4,2-1,,
101.6565,3,4-3,rb0,
101.6565,5,4-3,,
101.9898,1,lp2,,
101.9898,2,w1,,
101.9898,4,w1,,
101.9898,3,w3,,
101.9898,5,w3,,
102.92304,1,2-4,,
102.92304,2,1-3,,
102.92304,4,1-3,,
102.92304,3,3-2,,
102.92304,5,3-2,,
103.25634,1,lp4,,
103.25634,2,w3,,
103.25634,4,w3,,
103.25634,3,w2,,
103.25634,5,w2,,
104.02293,1,j4-3,,
104.02293,2,w3,,
104.02293,4,w3,,f1
104.02293,3,w2,,
104.02293,5,w2,,f1
104.68952999999999,1,3-2,,
105.02283,1,w2,,
105.22281,1,2-4,,
105.55610999999999,1,w4,,
105.98939999999999,1,4-3,,
105.98939999999999,2,sp3-4,,
105.98939999999999,4,sp3-4,,
105.98939999999999,3,sp2-3,,
105.98939999999999,5,sp2-3,,
106.3227,1,lp3,,
107.22260999999999,1,3-1,,
107.55591,1,w1,,
107.78922,1,1-2,,
107.78922,2,j4-2,,
107.78922,4,j4-2,,
107.78922,3,j3-4,,
107.78922,5,j3-4,,
108.28917,1,lp2,,
108.28917,2,w2,,
108.28917,4,w2,,
108.28917,3,w4,,
108.28917,5,w4,,
109.68902999999999,1,2-3,l1,
110.28896999999999,1,3-1,l2,
110.62227,1,lp1,,
110.88891,1,1-4,lb1,
111.38886,1,2-3,lb0,
111.72215999999999,1,lp3,,
111.9888,2,,rw2,
111.9888,4,,rw2,
111.9888,3,,lw2,
111.9888,5,,lw2,
112.25544,2,w2,,
112.25544,4,w2,,
112.25544,3,w4,,
112.25544,5,w4,,
113.22201,1,3-4,,
113.22201,2,2-4,,
113.22201,4,2-4,,
113.22201,3,4-1,,
113.22201,5,4-1,,
113.55530999999999,1,lp4,,
113.55530999999999,2,w4,,
113.55530999999999,4,w4,,
113.55530999999999,3,w1,,
113.55530999999999,5,w1,,
114.9885,1,4-3,r1,
114.9885,2,,rwb0,
114.9885,4,,rwb0,
114.9885,3,,lwb0,
114.9885,5,,lwb0,
115.58843999999999,1,3-1,r2,
115.58843999999999,2,,rw2,
115.58843999999999,4,,rw2,
115.58843999999999,3,,lw2,
115.58843999999999,5,,lw2,
116.22171,1,1-2,rb1,
116.82164999999999,1,2-4,rb0,
117.15495,1,lp4,,
118.88811,1,j4-1,,
118.88811,2,j2-1,,
118.88811,4,j2-1,,
118.88811,3,j4-1,,
118.88811,5,j4-1,,
118.92143999999999,MOT_mc_stage_color_00,r-flash,,
119.38806,1,lp1,,
119.38806,2,w1,,
119.38806,4,w1,,
119.38806,3,w1,,
119.38806,5,w1,,
119.58803999999999,1,1-2,,
119.58803999999999,2,1-3,,
119.58803999999999,4,1-3,,
119.58803999999999,3,1-3,,
119.58803999999999,5,1-3,,
120.15464999999999,1,2-4,,
120.15464999999999,2,3-4,,
120.15464999999999,4,3-4,,
120.15464999999999,3,3-4,,
120.15464999999999,5,3-4,,
120.42129,1,w4,,
120.42129,2,w4,,
120.42129,4,w4,,
120.42129,3,w4,,
120.42129,5,w4,,
126.02073,MOT_mc_bg_black_00,b20-65,,
126.02073,MOT_mc_light_up_00,l3,,
126.02073,MOT_mc_light_center_00,l2,,
126.02073,MOT_mc_light_under_00,l1,,
126.02073,MOT_speaker_00,temp4,,
126.02073,1,4-2,,
126.02073,2,4-2,,
126.02073,3,4-2,,
126.02073,4,4-2,,
126.02073,5,4-2,,
126.35403,1,w2,,
126.35403,2,w2,,
126.35403,3,w2,,
126.35403,4,w2,,
126.35403,5,w2,,
