3.53298,MOT_mc_stage_color_00,start,,
47.728559999999995,3,sp3-4,,
48.22851,1,hj4,,
48.22851,2,hj4,,
48.22851,3,hj4,,
48.72846,1,lp4,,
48.72846,2,lp4,,
48.72846,3,lp4,,
49.328399999999995,1,4-1,,
49.728359999999995,2,4-1,,
49.728359999999995,3,4-1,,
50.161649999999995,2,1-2,,
50.161649999999995,3,1-2,,
50.39496,MOT_mc_light_up_00,l1,,
50.39496,MOT_mc_light_center_00,l1,,
50.39496,MOT_mc_bg_black_00,b45,,
50.39496,1,,,sp1
50.39496,2,,,sp2
50.39496,3,,,sp3
50.69493,2,sj2,,
50.69493,3,sj2,,
50.86158,1,j1-2,,
51.46152,1,sj2,,
51.82815,1,sj2,,
52.02813,1,2-4,,
52.02813,3,2-4,,
52.46142,1,sj4,,
52.46142,3,sj4,,
52.6614,2,j2-4,,
53.427989999999994,2,sj4,,
53.794619999999995,1,4-1,,
53.794619999999995,2,4-1,,
54.36123,1,sj1,,
54.36123,2,sj1,,
54.42789,3,j4-1,,
54.86118,3,w1,,
55.19448,3,sj1,,
55.62777,1,sj1,,
55.62777,2,sj1,,
55.62777,3,sj1,,
56.12772,1,sj1,,
56.12772,2,sj1,,
56.12772,3,sj1,,
56.561009999999996,1,sj1,,
56.561009999999996,2,sj1,,
56.561009999999996,3,sj1,,
56.960969999999996,3,j1-3,,
57.394259999999996,MOT_mc_stage_color_00,l1,,
57.394259999999996,3,j3-4,,
57.394259999999996,1,j1-4,,
57.394259999999996,2,j1-4,,
57.49425,MOT_mc_light_up_00,stay,,
57.49425,MOT_mc_light_center_00,stay,,
57.49425,MOT_mc_bg_black_00,stay2,,
57.49425,1,,,f1
57.49425,2,,,f1
57.49425,3,,,f1
57.860879999999995,1,sj4,,
57.860879999999995,2,sj4,,
57.860879999999995,3,sj4,,
58.194179999999996,1,4-2,,
58.194179999999996,2,4-2,,
58.194179999999996,3,4-2,,
58.594139999999996,1,lp2,,
58.594139999999996,2,lp2,,
58.594139999999996,3,lp2,,
59.26074,1,2-3,,
59.59404,2,2-3,,
59.860679999999995,3,2-3,,
59.894009999999994,MOT_mc_light_up_00,l2,,
59.894009999999994,MOT_mc_light_center_00,l2,,
59.894009999999994,1,,,sp4
59.894009999999994,2,,,sp5
59.894009999999994,3,,,sp6
60.327299999999994,1,hj3,,
60.327299999999994,2,hj3,,
60.327299999999994,3,hj3,,
60.92724,MOT_mc_stage_color_00,l1,,
61.027229999999996,MOT_mc_light_up_00,stay,,
61.027229999999996,MOT_mc_light_center_00,stay,,
61.027229999999996,MOT_mc_bg_black_00,stay2,,
61.027229999999996,1,3-4,,f1
61.027229999999996,2,3-4,,f1
61.027229999999996,3,3-4,,f1
61.3272,1,w4,,
61.3272,2,w4,,
61.3272,3,w4,,
61.960469999999994,1,sj4,,
61.960469999999994,2,sj4,,
61.960469999999994,3,sj4,,
62.327099999999994,1,sj4,,
62.327099999999994,2,sj4,,
62.327099999999994,3,sj4,,
62.627069999999996,1,j4-1,,
62.627069999999996,2,j4-1,,
62.627069999999996,3,j4-1,,
63.027029999999996,1,lp1,,
63.027029999999996,2,lp1,,
63.027029999999996,3,lp1,,
63.36033,1,,l1,
63.36033,2,,l1,
63.36033,3,,l1,
63.79362,1,,l2,
63.79362,2,,l2,
63.79362,3,,l2,
64.19358,1,,l3,
64.19358,2,,l3,
64.19358,3,,l3,
64.59353999999999,1,,l4,
64.59353999999999,2,,l4,
64.59353999999999,3,,l4,
64.9935,2,1-2,,
65.16015,1,1-2,,
65.32679999999999,3,1-2,,
65.76008999999999,1,sp2-3,,
65.76008999999999,2,sp2-3,,
65.76008999999999,3,sp2-3,,
66.3267,1,hj3,,
66.3267,2,hj3,,
66.3267,3,hj3,,
66.89331,1,lp3,,
66.89331,2,lp3,,
66.89331,3,lp3,,
66.99329999999999,1,,lb3,
66.99329999999999,2,,lb3,
66.99329999999999,3,,lb3,
67.22661,1,,lb2,
67.22661,2,,lb2,
67.22661,3,,lb2,
67.45992,1,,lb1,
67.45992,2,,lb1,
67.45992,3,,lb1,
67.72655999999999,1,3-4,lb0,f2
67.72655999999999,2,3-4,lb0,f2
67.72655999999999,3,3-4,lb0,f2
68.09318999999999,1,4-3,,
68.09318999999999,2,4-3,,
68.09318999999999,3,4-3,,
68.15984999999999,MOT_mc_light_under_00,l1,,
68.45982,1,lp3,,
68.45982,2,lp3,,
68.45982,3,lp3,,
69.12642,1,,r1,
69.12642,2,,r1,
69.12642,3,,r1,
69.62637,1,,r2,
69.62637,2,,r2,
69.62637,3,,r2,
70.12631999999999,1,,r3,
70.12631999999999,2,,r3,
70.12631999999999,3,,r3,
70.59294,1,,r4,
70.59294,2,,r4,
70.59294,3,,r4,
70.95957,1,,r5,
70.95957,2,,r5,
70.95957,3,,r5,
71.42618999999999,1,3-1,,
71.42618999999999,2,3-1,,
71.42618999999999,3,3-1,,
71.82615,1,lp1,,
71.82615,2,lp1,,
71.82615,3,lp1,,
72.62607,1,,rb4,
72.62607,2,,rb4,
72.62607,3,,rb4,
73.05936,1,,rb3,
73.05936,2,,rb3,
73.05936,3,,rb3,
73.45931999999999,1,,rb2,
73.45931999999999,2,,rb2,
73.45931999999999,3,,rb2,
73.85928,1,,rb1,
73.85928,2,,rb1,
73.85928,3,,rb1,
74.25923999999999,2,1-4,rb0,
74.25923999999999,1,,rb0,
74.25923999999999,3,,rb0,
74.55921,1,1-4,,
74.89251,3,1-4,,
75.22581,1,sj4,,
75.22581,2,sj4,,
75.22581,3,sj4,,
75.82575,1,4-2,,
75.82575,2,4-2,,b1
75.82575,3,4-2,,b1
75.9924,MOT_mc_speaker_00,l1,,
76.25904,1,lp2,,
76.25904,2,w2,,
76.25904,3,w2,,
77.05896,1,sp2-3,,
77.9922,1,sj3,,
78.45882,1,w3,,
78.85878,1,3-1,,
79.29207,1,lp1,,
79.99199999999999,1,1-4,,
80.62527,1,hj4,,
81.02523,2,2-1,,f2
81.02523,3,2-1,,f2
81.22520999999999,MOT_mc_light_up_00,l2,,
81.22520999999999,MOT_mc_light_center_00,l2,,
81.22520999999999,MOT_mc_speaker_00,stay,,
81.22520999999999,2,,,sp5
81.22520999999999,3,,,sp6
81.22520999999999,1,,,sp4
81.69183,2,hj1,,
81.69183,3,hj1,,
81.69183,1,hj4,,
82.19178,MOT_mc_stage_color_00,l1,,
82.22511,1,4-1,,
82.29177,MOT_mc_light_up_00,stay,,
82.29177,MOT_mc_light_center_00,stay,,
82.29177,MOT_mc_bg_black_00,stay2,,
82.29177,1,,,f2
82.29177,2,,,f2
82.29177,3,,,f2
82.6584,1,lp1,l1,
82.6584,2,lp1,l1,
82.6584,3,lp1,l1,
83.12501999999999,1,,l2,
83.12501999999999,2,,l2,
83.12501999999999,3,,l2,
83.55830999999999,1,,l3,
83.55830999999999,2,,l3,
83.55830999999999,3,,l3,
83.99159999999999,1,,l4,
83.99159999999999,2,,l4,
83.99159999999999,3,,l4,
84.42488999999999,1,,l5,
84.42488999999999,2,,l5,
84.42488999999999,3,,l5,
84.89151,2,1-2,,
85.09149,1,1-2,,
85.22480999999999,3,1-2,,
85.85808,1,2-3,,
85.85808,2,2-3,,
85.85808,3,2-3,,
86.25804,1,lp3,,
86.25804,2,lp3,,
86.25804,3,lp3,,
86.55801,1,,lb4,
86.55801,2,,lb4,
86.55801,3,,lb4,
87.05796,1,,lb3,
87.05796,2,,lb3,
87.05796,3,,lb3,
87.55790999999999,1,,lb2,
87.55790999999999,2,,lb2,
87.55790999999999,3,,lb2,
88.05785999999999,1,,lb1,
88.05785999999999,2,,lb1,
88.05785999999999,3,,lb1,
88.29117,3,3-4,lb0,
88.52448,1,3-4,lb0,
88.75779,2,3-4,lb0,
89.29106999999999,1,4-2,,
89.29106999999999,2,4-2,,
89.29106999999999,3,4-2,,
89.72435999999999,1,sj2,,
89.72435999999999,2,sj2,,
89.72435999999999,3,sj2,,
90.19098,1,2-1,,b1
90.19098,2,2-1,,
90.19098,3,2-1,,b1
90.49095,MOT_mc_speaker_00,l2,,
90.59093999999999,1,lp1,,
90.59093999999999,2,lp1,,
90.59093999999999,3,lp1,,
91.02423,2,j1-3,,
91.49085,2,lp3,,
93.09069,1,1-3,,f2
93.35732999999999,MOT_mc_speaker_00,stay,,
93.52398,1,lp3,,
93.52398,2,lp3,,
95.45711999999999,2,3-3,,
95.6571,1,3-3,,
95.85708,3,1-1,,
96.22371,1,sj3,,
96.22371,2,sj3,,
96.22371,3,sj1,,
96.59034,1,sj3,,
96.59034,2,sj3,,
96.59034,3,sj1,,
96.92363999999999,3,1-3,,f2
96.92363999999999,1,w3,,
96.92363999999999,2,w3,,
96.95697,MOT_mc_speaker_00,l3,,
97.49024999999999,1,lp3,r1,
97.49024999999999,2,lp3,r1,
97.49024999999999,3,lp3,r1,
97.85687999999999,1,,r2,
97.85687999999999,2,,r2,
97.85687999999999,3,,r2,
98.19018,1,,r3,
98.19018,2,,r3,
98.19018,3,,r3,
98.55681,1,j3-4,,
98.55681,2,j3-4,,
98.55681,3,j3-4,,
98.9901,1,lp4,,
98.9901,2,lp4,,
98.9901,3,lp4,,
99.19008,1,,rb2,
99.19008,2,,rb2,
99.19008,3,,rb2,
99.42339,1,,rb1,
99.42339,2,,rb1,
99.42339,3,,rb1,
99.6567,1,j4-2,,
99.6567,2,j4-2,,
99.6567,3,j4-2,,
99.75668999999999,1,,rb0,
99.75668999999999,2,,rb0,
99.75668999999999,3,,rb0,
99.89000999999999,MOT_mc_speaker_00,stay,,
100.08999,1,2-3,,
100.08999,2,2-3,,
100.08999,3,2-3,,
100.45662,1,lp3,,
100.45662,2,lp3,,
100.45662,3,lp3,,
101.52318,1,3-2,,
101.52318,2,3-2,,
101.52318,3,3-2,,
101.72316,MOT_mc_speaker_00,l4,,
102.02313,2,,l1,
102.02313,3,,r1,
102.25644,1,2-3,,
102.25644,2,2-3,,
102.25644,3,2-3,,
103.25634,1,3-4,,
103.25634,2,3-4,,
103.25634,3,3-4,,
103.72296,2,,lb0,
103.72296,3,,rb0,
103.95626999999999,1,4-2,,
103.95626999999999,2,4-2,,
103.95626999999999,3,4-2,,
104.45622,1,lp2,,
104.45622,2,lp2,,
104.45622,3,lp2,,
105.02283,1,2-1,,
105.02283,2,2-1,,
105.02283,3,2-1,,
105.52278,2,,l1,
105.52278,3,,r1,
105.75609,2,,l2,
105.75609,3,,r2,
105.98939999999999,1,1-4,,
105.98939999999999,2,1-4,,
105.98939999999999,3,1-4,,
106.28936999999999,1,j4-2,,
106.42268999999999,2,j4-2,,
106.55601,3,j4-2,,
106.85597999999999,2,w2,lb1,
106.85597999999999,3,w2,rb1,
107.12262,1,j2-3,,
107.12262,2,j2-3,,
107.12262,3,j2-3,,
107.22260999999999,2,,lb0,
107.22260999999999,3,,rb0,
107.65589999999999,1,w3,,
107.65589999999999,2,w3,,
107.65589999999999,3,w3,,
108.75578999999999,1,3-2,,
108.75578999999999,2,3-2,,
108.75578999999999,3,3-2,,
109.22241,1,lp2,l1,
109.22241,2,lp2,l1,
109.22241,3,lp2,l1,
109.58904,1,,l2,
109.58904,2,,l2,
109.58904,3,,l2,
110.62227,1,2-3,,
110.62227,2,2-3,,
110.62227,3,2-3,,
111.02223,1,lp3,lb1,
111.02223,2,lp3,lb1,
111.02223,3,lp3,lb1,
111.42219,1,,lb0,
111.42219,2,,lb0,
111.42219,3,,lb0,
112.35543,1,j3-2,,
112.68872999999999,2,j3-2,,
112.78872,2,,l1,
112.9887,3,j3-2,,
113.08869,3,,r1,
113.32199999999999,1,sp2-3,,
113.32199999999999,2,sp2-3,,
113.32199999999999,3,sp2-3,,
114.95517,1,lp4,,
114.95517,2,lp4,,
114.95517,3,lp4,,
