0.03333,MOT_all,start,,
72.15944999999999,4,hj4,,
72.15944999999999,5,hj4,,
72.69273,1,4-2,,
72.69273,2,4-2,,
72.69273,3,4-2,,
72.69273,4,4-2,,
72.69273,5,4-2,,
73.05936,1,lp2,,
73.05936,2,lp2,,
73.05936,3,lp2,,
73.05936,4,lp2,,
73.05936,5,lp2,,
73.52597999999999,1,2-3,,
73.89260999999999,2,2-3,,
73.89260999999999,3,2-3,,
73.89260999999999,1,sj3,,
74.22591,4,2-3,,
74.22591,5,2-3,,
74.22591,2,sj3,,
74.22591,3,sj3,,
74.55921,4,sj3,,
74.55921,5,sj3,,
74.89251,1,sj3,,
74.89251,2,sj3,,
74.89251,3,sj3,,
74.89251,4,sj3,,
74.89251,5,sj3,,
75.29247,1,3-4,,
75.29247,2,3-4,,
75.29247,3,3-4,,
75.29247,4,3-4,,
75.29247,5,3-4,,
75.69243,1,lp4,,
75.69243,2,lp4,,
75.69243,3,lp4,,
75.69243,4,lp4,,
75.69243,5,lp4,,
76.02573,4,4-1,,
76.29236999999999,5,4-1,,
76.62567,2,4-1,,
76.95897,3,4-1,,
77.3256,1,4-2,,
77.3256,2,1-2,,
77.3256,3,1-2,,
77.3256,4,1-2,,
77.3256,5,1-2,,
77.69223,1,lp2,,
77.69223,2,lp2,,
77.69223,3,lp2,,
77.69223,4,lp2,,
77.69223,5,lp2,,
78.59214,1,2-3,,
78.59214,2,2-3,,
78.59214,3,2-3,,
78.59214,4,2-3,,
78.59214,5,2-3,,
78.95877,1,lp3,,
78.95877,2,lp3,,
78.95877,3,lp3,,
78.95877,4,lp3,,
78.95877,5,lp3,,
80.35862999999999,1,3-4,,
80.35862999999999,2,3-4,,
80.35862999999999,3,3-4,,
80.35862999999999,4,3-4,,
80.35862999999999,5,3-4,,
80.72525999999999,1,lp4,,
80.72525999999999,2,lp4,,
80.72525999999999,3,lp4,,
80.72525999999999,4,lp4,,
80.72525999999999,5,lp4,,
81.29187,4,4-1,r1,
81.29187,5,4-1,l1,
81.52517999999999,2,4-1,r1,
81.52517999999999,3,4-1,l1,
81.79182,1,4-1,,
82.35843,1,j1-2,,
82.35843,2,j1-2,,
82.35843,3,j1-2,,
82.35843,4,j1-2,,
82.35843,5,j1-2,,
82.82504999999999,1,w2,,
82.82504999999999,2,w2,,
82.82504999999999,3,w2,,
82.82504999999999,4,w2,,
82.82504999999999,5,w2,,
83.25833999999999,3,2-1,,
83.25833999999999,1,,,b0
83.25833999999999,2,,,b0
83.25833999999999,4,,,b0
83.25833999999999,5,,,b0
83.25833999999999,3,sort,1,
83.25833999999999,1,sort,-9000,
83.25833999999999,2,sort,-9000,
83.25833999999999,4,sort,-9000,
83.25833999999999,5,sort,-9000,
83.42499,MOT_control_all,cut4_02,,
83.55830999999999,MOT_mc_back_00,cut5_01,,
83.55830999999999,MOT_mc_stage_color_00,l2,,
83.55830999999999,MOT_all,cut5_01,,
83.6583,3,lp1,,
85.42479,3,1-2,,
85.79142,3,lp2,,
88.9911,3,2-1,,b0
88.9911,2,2-3,,f1
88.9911,3,sort,-9000,
88.9911,2,sort,-9000,
89.39106,3,w1,,
89.39106,2,lp3,,
89.39106,1,w2,,
89.39106,4,w2,,
89.39106,5,w2,,
90.6576,2,3-4,,
90.9909,2,lp4,,
93.79061999999999,2,4-1,,b0
93.79061999999999,2,sort,-9000,
94.19058,1,2-3,,f1
94.19058,4,2-3,,f1
94.19058,5,2-3,,f1
94.19058,1,sort,-9000,
94.19058,4,sort,-9000,
94.19058,5,sort,-9000,
94.19058,2,w1,,
94.19058,3,w1,,
94.45721999999999,MOT_mc_back_00,cut5_02,,
94.45721999999999,MOT_mc_stage_color_00,l3,,
94.45721999999999,MOT_all,cut5_02,,
94.55721,1,lp3,,
94.55721,4,lp3,,
94.55721,5,lp3,,
95.02382999999999,4,,rb0,
95.02382999999999,5,,lb0,
95.39045999999999,4,,l1,
95.39045999999999,5,,r1,
96.52368,1,3-4,,
96.72366,4,3-4,,
96.92363999999999,5,3-4,,
97.62357,1,j4-1,,
97.62357,4,j4-1,,
97.62357,5,j4-1,,
98.29016999999999,1,sj1,,
98.29016999999999,4,sj1,,
98.29016999999999,5,sj1,,
98.85678,MOT_mc_stage_color_00,l4,,
98.85678,MOT_mc_back_00,cut5_03,,
98.85678,MOT_all,cut5_03,,
98.85678,1,1-2,,f2
98.85678,4,1-2,lb1,f2
98.85678,5,1-2,rb1,f2
98.85678,2,,,f1
98.85678,3,,,f1
98.85678,1,sort,-9000,
98.85678,2,sort,-9000,
98.85678,3,sort,-9000,
98.85678,4,sort,-9000,
98.85678,5,sort,-9000,
99.25674,2,1-2,,f2
99.25674,3,1-2,,f2
99.25674,2,sort,-9000,
99.25674,3,sort,-9000,
99.25674,4,w2,lb0,
99.25674,5,w2,rb0,
99.62337,1,hj2,,
99.62337,2,hj2,,
99.62337,3,hj2,,
99.62337,4,hj2,,
99.62337,5,hj2,,
100.08999,2,2-3,,
100.22331,MOT_mc_special_03,cut5_01,,
100.22331,MOT_control_all,cut5_02,,
100.45662,1,2-3,,
100.45662,3,2-3,,
100.45662,4,2-3,,
100.45662,5,2-3,,
100.85658,1,3-4,,
101.15655,2,3-4,r1,
101.45652,3,3-4,l1,
101.72316,4,3-4,r1,
102.02313,5,3-4,l1,
102.52308,1,4-1,,
102.52308,2,4-1,,
102.52308,3,4-1,,
102.52308,4,4-1,,
102.52308,5,4-1,,
102.88971,1,lp1,,
102.88971,2,lp1,,
102.88971,3,lp1,,
102.88971,4,lp1,,
102.88971,5,lp1,,
104.85618,1,1-2,,
104.85618,2,1-2,,
104.85618,3,1-2,,
104.85618,4,1-2,,
104.85618,5,1-2,,
105.22281,1,hj2,,
105.22281,2,hj2,,
105.22281,3,hj2,,
105.22281,4,hj2,,
105.22281,5,hj2,,
105.38946,MOT_mc_stage_color_00,stay,,
107.95586999999999,MOT_mc_special_03,cut6_01,,
107.95586999999999,MOT_mc_special_02,cut6_01,,
107.95586999999999,MOT_control_all,cut6_01,,
107.95586999999999,MOT_all,cut6_01,,
107.95586999999999,MOT_mc_light_up_00,stay,,
107.95586999999999,1,w1,center,center
107.95586999999999,2,w1,center,center
107.95586999999999,3,w1,center,center
107.95586999999999,4,w1,center,center
107.95586999999999,5,w1,center,center
107.95586999999999,1,sort,-9000,
107.95586999999999,2,sort,-9000,
107.95586999999999,3,sort,-9000,
107.95586999999999,4,sort,-9000,
107.95586999999999,5,sort,-9000,
108.48915,4,1-4,,
108.88910999999999,4,w4,,
109.55570999999999,5,1-4,,
110.92223999999999,2,1-4,,
111.65549999999999,3,1-4,,
112.35543,1,1-4,,
112.72206,1,w4,,
112.72206,2,w4,,
112.72206,3,w4,,
112.72206,4,w4,,
112.72206,5,w4,,
